"ASV","species","genus","family","order","class","phylum","kingdom","seq_percID","diff","taxonomic_level","taxon"
"ASV39","Ammodytes_hexapterus","Ammodytes","Ammodytidae","Uranoscopiformes","Actinopteri","Chordata","Eukaryota",98.817,0,"species","Ammodytes_hexapterus"
"ASV4","Sebastes_borealis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV4","Sebastes_saxicola","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Sebastes"
"ASV400","Eudontomyzon_morii","Eudontomyzon","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV400","Lethenteron_appendix","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV400","Lethenteron_camtschaticum","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV400","Lethenteron_kessleri","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV400","Lethenteron_reissneri","Lethenteron","Petromyzontidae","Petromyzontiformes","Hyperoartia","Chordata","Eukaryota",100,0,"family","Petromyzontidae"
"ASV41","Anoplarchus_purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Anoplarchus_purpurescens"
"ASV410","Gadus_macrocephalus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Gadus_macrocephalus"
"ASV411","Hippoglossus_stenolepis","Hippoglossus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Hippoglossus_stenolepis"
"ASV419","Stenobrachius_leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota",99.419,0,"species","Stenobrachius_leucopsarus"
"ASV424","Xiphister_atropurpureus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Xiphister"
"ASV424","Xiphister_mucosus","Xiphister","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Xiphister"
"ASV43","Leuroglossus_schmidti","Leuroglossus","Bathylagidae","Argentiniformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Leuroglossus_schmidti"
"ASV45","Mallotus_villosus","Mallotus","Salangidae","Osmeriformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Mallotus_villosus"
"ASV451","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Gadus_chalcogrammus"
"ASV452","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Ronquilus_jordani"
"ASV457","Artedius_fenestralis","Artedius","Cottidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.419,0,"species","Artedius_fenestralis"
"ASV46","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,0,"species","Clupea_pallasii"
"ASV461","Gadus_chalcogrammus","Gadus","Gadidae","Gadiformes","Actinopteri","Chordata","Eukaryota",98.824,0,"species","Gadus_chalcogrammus"
"ASV462","Anoplarchus_insignis","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Anoplarchus"
"ASV462","Anoplarchus_purpurescens","Anoplarchus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,0,"genus","Anoplarchus"
"ASV47","Citharichthys_stigmaeus","Citharichthys","Cyclopsettidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",100,0,"species","Citharichthys_stigmaeus"
"ASV472","Hippoglossoides_elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Hippoglossoides_elassodon"
"ASV478","Sebastes_aleutianus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_alutus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_babcocki","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_brevispinis","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_elongatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_emphaeus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_flavidus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_helvomaculatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_melanops","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_miniatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_pinniger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_proriger","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_rosaceus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_ruberrimus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_variegatus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_wilsoni","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV478","Sebastes_zacentrus","Sebastes","Sebastidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.405,0,"genus","Sebastes"
"ASV48","Clupea_pallasii","Clupea","Clupeidae","Clupeiformes","Actinopteri","Chordata","Eukaryota",99.419,0,"species","Clupea_pallasii"
"ASV49","Bathymaster_leurolepis","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Bathymaster"
"ASV49","Bathymaster_signatus","Bathymaster","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",100,0,"genus","Bathymaster"
"ASV495","Cymatogaster_aggregata","Cymatogaster","Embiotocidae","order","Actinopteri","Chordata","Eukaryota",99.405,0,"species","Cymatogaster_aggregata"
"ASV498","Stenobrachius_leucopsarus","Stenobrachius","Myctophidae","Myctophiformes","Actinopteri","Chordata","Eukaryota",99.419,0,"species","Stenobrachius_leucopsarus"
"ASV499","Ronquilus_jordani","Ronquilus","Bathymasteridae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,0,"species","Ronquilus_jordani"
