"","total","spread","parent_id","curated","rank"
"ASV182",229,1,"ASV1","merged",182
"ASV183",224,1,"ASV122","merged",183
"ASV184",224,1,"ASV7","merged",184
"ASV185",224,1,"ASV185","parent",185
"ASV186",220,1,"ASV9","merged",186
"ASV187",213,1,"ASV23","merged",187
"ASV189",205,1,"ASV79","merged",189
"ASV190",203,1,"ASV38","merged",190
"ASV191",201,1,"ASV45","merged",191
"ASV192",196,1,"ASV192","parent",192
"ASV193",195,1,"ASV193","parent",193
"ASV194",192,1,"ASV9","merged",194
"ASV195",186,1,"ASV195","parent",195
"ASV196",186,1,"ASV196","parent",196
"ASV197",185,1,"ASV197","parent",197
"ASV198",183,1,"ASV9","merged",198
"ASV199",182,1,"ASV38","merged",199
"ASV200",177,1,"ASV200","parent",200
"ASV201",177,1,"ASV89","merged",201
"ASV202",177,1,"ASV2","merged",202
"ASV203",176,1,"ASV203","parent",203
"ASV205",174,1,"ASV38","merged",205
"ASV206",171,1,"ASV16","merged",206
"ASV207",171,1,"ASV193","merged",207
"ASV208",171,1,"ASV208","parent",208
"ASV209",170,1,"ASV9","merged",209
"ASV210",166,1,"ASV9","merged",210
"ASV211",165,1,"ASV211","parent",211
"ASV212",162,1,"ASV1","merged",212
"ASV213",159,1,"ASV213","parent",213
"ASV214",159,1,"ASV214","parent",214
"ASV215",156,1,"ASV215","parent",215
"ASV216",156,1,"ASV216","parent",216
"ASV217",151,1,"ASV39","merged",217
"ASV218",149,1,"ASV218","parent",218
"ASV219",149,1,"ASV219","parent",219
"ASV221",148,1,"ASV221","parent",221
"ASV222",146,1,"ASV7","merged",222
"ASV223",146,1,"ASV2","merged",223
"ASV224",144,1,"ASV38","merged",224
"ASV225",141,1,"ASV2","merged",225
"ASV226",140,1,"ASV35","merged",226
"ASV227",140,1,"ASV7","merged",227
"ASV228",139,1,"ASV228","parent",228
"ASV229",138,1,"ASV229","parent",229
"ASV230",138,1,"ASV230","parent",230
"ASV231",137,1,"ASV2","merged",231
"ASV232",137,1,"ASV232","parent",232
"ASV233",136,1,"ASV38","merged",233
"ASV234",135,1,"ASV2","merged",234
"ASV235",133,1,"ASV235","parent",235
"ASV236",130,1,"ASV18","merged",236
"ASV237",129,1,"ASV237","parent",237
"ASV238",129,1,"ASV238","parent",238
"ASV239",127,1,"ASV7","merged",239
"ASV240",126,1,"ASV31","merged",240
"ASV241",126,1,"ASV241","parent",241
"ASV242",125,1,"ASV35","merged",242
"ASV243",125,1,"ASV4","merged",243
"ASV244",124,1,"ASV4","merged",244
"ASV245",124,1,"ASV245","parent",245
